date,skill_name,region,interest
20093,tableau,US,1
20100,tableau,US,1
20107,tableau,US,1
20114,tableau,US,1
20121,tableau,US,1
20128,tableau,US,1
20135,tableau,US,1
20142,tableau,US,1
20149,tableau,US,1
20156,tableau,US,1
20163,tableau,US,1
20170,tableau,US,1
20177,tableau,US,1
20184,tableau,US,1
20191,tableau,US,1
20198,tableau,US,1
20205,tableau,US,1
20212,tableau,US,1
20219,tableau,US,1
20226,tableau,US,1
20233,tableau,US,1
20240,tableau,US,1
20247,tableau,US,1
20254,tableau,US,1
20261,tableau,US,1
20268,tableau,US,1
20275,tableau,US,1
20282,tableau,US,1
20289,tableau,US,1
20296,tableau,US,1
20303,tableau,US,1
20310,tableau,US,1
20317,tableau,US,1
20324,tableau,US,1
20331,tableau,US,1
20338,tableau,US,1
20345,tableau,US,1
20352,tableau,US,1
20359,tableau,US,1
20366,tableau,US,1
20373,tableau,US,1
